연번,기준일자,시군구명,사고빈발 및 위험지역(지점),상세위치,장소구분,사고유형,출동횟수,사망,중상,경상,개선의견,경도,위도
2,2020.9.21,부산진구,부산광역시 부산진구 새싹로 295,성지곡 수원지 둘레길 인명구조함,저수지,수난,0,0,0,0,"수난안전시설물(구명부환, 구명조끼) 보강",129.0505508,35.16264855
3,2020.5.18,동래구,부산광역시 동래구 금정산 등산로,금정산 국가지점번호판 마라43079273,산,산악,0,0,0,0,산악안전시설물 정비,129.0967635,35.25168258
4,2020.6.9,사상구,부산광역시 사상구 삼락동 29-46,삼락생태공원 수관교,공원,수난,0,0,0,0,수난사고 초기 대응을 위한 수난인명구조함 설치,128.9727169,35.16915853
5,2020.6.9,사상구,부산광역시 사상구 삼락동 29-46,삼락생태공원 수관교,공원,수난,0,0,0,0,수난사고 초기 대응을 위한 수난인명구조함 설치,128.9727169,35.16915853
6,2020.6.9,사상구,부산광역시 사상구 삼락동 29-46,삼락생태공원 계류장,공원,수난,1,1,0,0,수난사고 초기 대응을 위한 수난인명구조함 설치,128.9727169,35.16915853
7,2020.6.9,사상구,부산광역시 사상구 삼락동 29-46,삼락생태공원 계류장,공원,수난,1,0,0,3,수난사고 초기 대응을 위한 수난인명구조함 설치,128.9727169,35.16915853
8,2020.6.9,사상구,부산광역시 사상구 삼락동 29-46,삼락생태공원 삼락강변교,공원,수난,0,0,0,0,수난사고 초기 대응을 위한 수난인명구조함 설치,128.9727169,35.16915853
9,2020.6.9,사상구,부산광역시 사상구 삼락동 29-46,삼락생태공원 삼락샛강,공원,수난,0,0,0,0,수난사고 초기 대응을 위한 수난인명구조함 설치,128.9727169,35.16915853
10,2020.1.26,사하구,부산광역시 사하구 몰운대1길 55 일원,다대포해수욕장 일원,바다,수난,16,3,0,14,주의 표지판 및 인명구조함 보강 및 추가설치,128.9714519,35.05726793
11,2020.9.9,해운대구,부산광역시 해운대구 좌동 1390,좌동 장산 일대,산,낙상,15,0,0,15,산악 안전시설물 정비 등,129.1836666,35.17508436
12,2020.5.20,금정구,부산광역시 금정구 선동 산 99-2,금정구 회동수원지 일대 등,수원지,수난,37,1,0,10,노후된 위험표지판 16개소 전면교체,129.122427,35.23138236
13,2020.3.23,수영구,부산광역시 수영구 남천동,남천항 끝 부분,바다,수난,12,0,0,3,인명구조함 우측 상단 지지철심 탈락,129.1087192,35.14356085
14,2020.3.23,수영구,부산광역시 수영구 민락동,민락항 백등대 앞,바다,수난,10,0,1,3, 인명구조함 내 인명구조조끼 분실,129.1236292,35.16005393
15,2020.3.23,수영구,부산광역시 수영구 민락동,센텀 이편한세상 1차 106동 앞 산책로,바다,수난,16,0,0,3,목재 거치대 노후로 파손,129.1236292,35.16005393
16,2020.9.14,수영구,부산광역시 수영구 남천동,삼익비치 산책로 중간지점,바다,수난,8,0,0,1,태풍 하이선 북상에 따른 구급함 유실,129.1162145,35.14277084
17,2020.9.14,수영구,부산광역시 수영구 남천동,삼익비치 산책로 초입구,바다,수난,25,0,0,2,경고문구 노후로 재설치,129.1162145,35.14277084
18,2020.9.14,수영구,부산광역시 수영구 남천동,삼익비치 산책로 중간지점,바다,수난,14,0,1,2,태풍 하이선 북상에 따른 인명구조함 유실,129.1162145,35.14277084
19,2020.9.14,수영구,부산광역시 수영구 남천동,광안리해수욕장 산책로 초입구,바다,수난,9,0,0,2,태풍 하이선 북상에 따른 인명구조함 유실,129.1162145,35.14277084
20,2020.9.14,수영구,부산광역시 수영구 남천동,삼익비치 산책로 초입구,바다,수난,7,0,0,1,경고문구 노후로 재설치,129.1162145,35.14277084
